"Code","deaths","X2018.people.per.sq..km","Mean_ann_earnings","median_age_2018","pm25_5yAvg","no2_5yAvg","o3_5yAvg","pm10_5yAvg","nox_5yAvg","cases","earnings_5ya.x","pop_dens_5ya","age_5ya.x","earnings_5ya.y","age_5ya.y","earnings_5ya","age_5ya"
"E06000045",39,5065,23961,32.2,10.8846389,27.829834,2.1337327,15.454615,47.494359,257,23600.6,4999,32.4,23600.6,32.4,23600.6,32.4
"E06000046",13,373,23418,50.1,8.4969193,7.7468744,4.4185761,13.140457,10.3814969,51,23700.2,370,49.1,23700.2,49.1,23700.2,49.1
"E06000047",160,237,26634,43.5,6.5231228,5.7100161,2.9289187,9.8711753,7.4387272,647,25391.2,235,43.4,25391.2,43.4,25391.2,43.4
"E06000049",103,326,31067,46.2,8.0153054,10.0742941,2.3774347,12.252148,13.649505,408,30358,324,45.6,30358,45.6,30358,45.6
"E06000050",73,371,29183,44.4,7.2666723,7.5207102,2.8662772,10.976437,9.9745381,422,28111.2,367,44,28111.2,44,28111.2,44
"E06000051",41,100,26455,47.4,7.8935279,5.3620111,4.2120777,12.877853,6.972859,237,25800,99,46.6,25800,46.6,25800,46.6
"E06000052",76,160,22887,47.2,6.7733805,4.9872265,3.299444,11.698533,6.4358568,287,22008.4,158,46.6,22008.4,46.6,22008.4,46.6
"E06000054",89,153,29483,44.6,8.8128013,7.2671239,4.5239561,13.622236,9.7022468,236,27150.6,152,44,27150.6,44,27150.6,44
"E06000055",32,360,28943,40.2,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,232,28242.8,355,40,28242.8,40,28242.8,40
"E06000056",61,396,32221,41.3,10.3931732,12.915947,4.0803259,15.516103,18.081887,289,31588,389,41.3,31588,41.3,31588,41.3
"E06000057",59,64,25438,48,5.38475418,3.96859358,1.9859255,7.72358524,5.09170032,382,25817.4,64,47.3,25817.4,47.3,25817.4,47.3
"E07000008",12,3090,36066,30.6,10.383046,15.602427,4.5102072,15.431303,22.370437,92,32830.2,3067,31.3,32830.2,31.3,32830.2,31.3
"E07000010",14,186,25799,44.8,9.0243468,9.4128512,4.9976177,13.238622,12.751213,69,24695.2,183,44.6,24695.2,44.6,24695.2,44.6
"E07000011",18,196,33158,43.3,9.9860841,11.0644487,4.5573043,15.712569,15.168489,110,29970.8,194,42.8,29970.8,42.8,29970.8,42.8
"E07000012",12,175,38350,42.9,9.8785891,8.6933373,5.3755633,15.448987,11.704342,106,36589,173,42.5,36589,42.5,36589,42.5
"E07000026",24,79,28789,47.8,5.1649791,3.8748673,1.9942924,7.6842048,4.9539791,125,26716.6,78,47.2,26716.6,47.2,26716.6,47.2
"E07000027",27,861,27140,44.9,8.6935803,12.5033575,2.0479448,12.0178106,17.878201,393,24277,865,44.5,24277,44.5,24277,44.5
"E07000028",31,104,23809,44.8,7.20679246,10.49924286,1.66060986,10.31327192,14.29867296,229,22183.2,104,44.1,22183.2,44.1,22183.2,44.1
"E07000029",18,94,31177,46.7,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,117,30858.4,94,46,30858.4,46,30858.4,46
"E07000031",63,68,27942,50.9,6.360427,7.0195044,2.236009,9.7407018,9.2131413,317,26072.6,68,50.2,26072.6,50.2,26072.6,50.2
"E07000032",31,477,28594,46,9.6235551,13.133372,2.4887442,14.047264,18.407579,89,27857.8,473,45.4,27857.8,45.4,27857.8,45.4
"E07000033",10,496,23373,44,9.5175353,13.266738,2.3038656,15.184342,18.547699,66,22090.6,491,43.6,22090.6,43.6,22090.6,43.6
"E07000034",17,1584,25376,44.5,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,109,23464,1584,44,23464,44,23464,44
"E07000035",18,91,31252,50.8,7.7188652,8.0453598,2.4820571,11.859425,10.785775,66,29063,91,49.8,29063,49.8,29063,49.8
"E07000037",19,171,25908,45.9,6.4905263,7.4803572,2.03981,9.2773691,9.9726566,80,26038.6,171,45.2,26038.6,45.2,26038.6,45.2
"E07000038",31,367,25327,47.6,7.648886,9.061729,2.3484287,11.374969,12.254583,115,24919.2,365,47.1,24919.2,47.1,24919.2,47.1
"E07000039",26,309,32936,42.2,9.7575521,10.993967,2.9479877,15.114071,15.111998,121,29731.8,302,42.1,29731.8,42.1,29731.8,42.1
"E07000040",8,177,25979,50.9,7.0908916,4.6193122,3.3736463,11.373262,5.9540432,78,25277,174,50.5,25277,50.5,25277,50.5
"E07000041",16,2773,24395,33.7,8.4874851,11.1663687,2.9058971,12.777247,15.254382,88,23810,2718,34.1,23810,34.1,23810,34.1
"E07000042",4,89,24840,46.5,7.0010136,3.7841164,3.3889833,11.292486,4.8376614,53,24544.2,88,46,24544.2,46,24544.2,46
"E07000043",5,88,22084,47.6,6.7814286,3.9850809,3.2035849,10.903416,5.1008236,23,21406.2,88,47.1,21406.2,47.1,21406.2,47.1
"E07000044",4,97,25262,51.2,6.4876111,4.0906034,3.453074,10.670891,5.2414742,49,23993.6,96,50.5,23993.6,50.5,23993.6,50.5
"E07000045",11,197,23794,49.2,7.0030125,4.8114699,3.4328392,11.229416,6.2012168,50,22858.6,194,48.6,22858.6,48.6,22858.6,48.6
"E07000046",2,69,22622,50.2,6.744758,3.182322,3.3172266,11.197707,4.039916,8,21861,68,49.4,21861,49.4,21861,49.4
"E07000061",19,2336,26181,45.7,9.5527744,10.6692686,3.0593083,13.820396,14.548036,63,23872.6,2327,44.9,23872.6,44.9,23872.6,44.9
"E07000063",21,352,27060,47.7,9.7554344,12.0582035,3.0160911,14.530667,16.572611,94,27978.8,349,47.2,27978.8,47.2,27978.8,47.2
"E07000066",63,1689,32954,39.3,11.392952,18.167649,3.6872902,16.614669,26.518565,221,31050.8,1673,39.5,31050.8,39.5,31050.8,39.5
"E07000067",28,248,32889,43.5,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,102,29742.6,247,43,29742.6,43,29742.6,43
"E07000068",30,500,40998,43.3,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,107,42520,500,43.3,42520,43.3,42520,43.3
"E07000069",27,1998,31942,46.9,10.321809,14.766062,4.1301228,14.892576,21.016725,89,28422,2007,46.7,28422,46.7,28422,46.7
"E07000070",47,523,31884,41.7,11.519376,16.208225,3.9586032,16.930769,23.179425,186,34181.8,517,41.6,34181.8,41.6,34181.8,41.6
