"OR","X2.5..","X97.5..","p_value","names","significance"
0.972748742068957,0.9371150426694,1.0080337605508,0.116515194069866,"pm25_5yAvg","p-value > 0.05"
0.977478935633314,0.952156595380927,1.00240956125128,0.0659408885459203,"pm10_5yAvg","p-value > 0.05"
1.01174549562255,1.0046623285358,1.01880758301961,0.00240113153981347,"nox_5yAvg","p-value < 0.05"
1.01872368446099,1.00695946617556,1.03038962145813,0.00415849686159772,"no2_5yAvg","p-value < 0.05"
0.79645185341789,0.739637453495739,0.857647130051365,8.40139207473663e-10,"o3_5yAvg","p-value < 0.05"
