Unnamed: 0,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,Name,lat,lon
78,E07000040,8,177,"25,979",50.9,East Devon,50.7568771,-3.2215643
79,E07000041,16,"2,773","24,395",33.7,Exeter,50.725562,-3.5269108
80,E07000042,4,89,"24,840",46.5,Mid Devon,50.8683922,-3.5997
81,E07000043,5,88,"22,084",47.6,North Devon,51.061456,-3.9239233
82,E07000044,4,97,"25,262",51.2,South Hams,50.3720603,-3.8162499
83,E07000045,11,197,"23,794",49.2,Teignbridge,50.6125552,-3.6559106
84,E07000046,2,69,"22,622",50.2,Torridge,50.8626014,-4.2612056
85,E07000047,5,48,"23,198",50.8,West Devon,50.6519975,-4.0743109
86,E07000061,19,"2,336","26,181",45.7,Eastbourne,50.7685761,0.2957854
87,E07000062,3,"3,124","22,645",43.0,Hastings,50.8553888,0.5824703
88,E07000063,21,352,"27,060",47.7,Lewes,50.8746139,0.0051153
89,E07000064,8,188,"28,719",52.8,Rother,50.9669664,-0.6206691
90,E07000065,23,192,"28,785",48.8,Wealden,50.9421692,0.1971625
91,E07000066,63,"1,689","32,954",39.3,Basildon,51.5754602,0.4757363
92,E07000067,28,248,"32,889",43.5,Braintree,42.2064195,-71.005067
93,E07000068,30,500,"40,998",43.3,Brentwood,37.9317766,-121.6960266
94,E07000069,27,"1,998","31,942",46.9,Castle Point,51.5444908,0.5839689
95,E07000070,47,523,"31,884",41.7,Chelmsford,51.7345436,0.4724544
96,E07000071,26,585,"32,774",37.9,Colchester,51.8896903,0.8994651
97,E07000072,65,387,"35,185",42.7,Epping Forest,51.6651914,0.054778
98,E07000073,38,"2,836","28,669",37.5,Harlow,51.7676194,0.0974893
99,E07000074,13,180,"34,872",48.7,Maldon,51.731198,0.6791849
100,E07000075,26,513,"32,303",46.1,Rochford,51.5838691,0.7056174
101,E07000076,37,432,"24,841",50.4,Tendring,51.8753236,1.1128842
102,E07000077,16,139,"43,669",44.0,Uttlesford,51.9299895,0.2708365
103,E07000078,37,"2,513","32,972",40.2,Cheltenham,51.8995685,-2.0711559
104,E07000079,14,76,"31,025",48.8,Cotswold,51.845168,-1.8913308
105,E07000080,16,164,"26,008",47.9,Forest of Dean,51.8090013,-2.5559861
106,E07000081,31,"3,188","25,840",38.9,Gloucester,51.8653705,-2.2458192
107,E07000082,21,258,"28,761",46.4,Stroud,51.745424,-2.2198605
108,E07000083,22,223,x,44.7,Tewkesbury,51.9937857,-2.1549574
109,E07000084,41,277,"33,830",41.0,Basingstoke and Deane,51.2587797,-1.2211073
110,E07000085,22,235,"40,919",46.9,East Hampshire,51.077889,-0.9439076
111,E07000086,17,"1,653","28,543",42.2,Eastleigh,50.9202217,-1.2992764
