Sector,Year,Emissions
Energy Industries,1990,2876.666995
Energy Industries,2005,468.9195157
Energy Industries,2018,49.33997377
Manufacturing Industries and Construction,1990,421.7031459
Manufacturing Industries and Construction,2005,122.6115301
Manufacturing Industries and Construction,2018,38.41845214
Domestic Combustion,1990,111.5842273
Domestic Combustion,2005,41.37459157
Domestic Combustion,2018,40.71934217
Other,1990,358.6855382
Other,2005,140.0484938
Other,2018,31.27427457
