"","ons_code","area","personal.buses.Motorways","personal.buses.A.roads","personal.buses.Minor.roads","personal.diesel.cars.Motorways","personal.diesel.cars.A.roads","personal.diesel.cars.Minor.roads","personal.petrol.cars.Motorway","personal.petrol.cars.A.roads","personal.petrol.cars.Minor.roads","personal.motorcycles.Motorways","personal.motorcycles.A.roads","personal.motorcycles.Minor.roads","freight.HGV.Motorways","freight.HGV.A.roads","freight.HGV.Minor.roads","freight.diesel.LGV.Motorways","freight.diesel.LGV.A.roads","freight.diesel.LGV.Minor.roads","freight.petrol.LGV.Motorways","freight.petrol.LGV.A.roads","freight.petrol.LGV.Minor.roads"
"95","E07000070","Chelmsford",0,1031,1694,0,24540,14130,0,26636,16070,0,298,320,0,17449,1141,0,15453,7470,0,466,281
"96","E07000071","Colchester",0,730,1561,0,19050,14953,0,20681,16970,0,232,325,0,15667,1415,0,12795,8073,0,379,304
"97","E07000072","Epping Forest",1432,459,1186,37994,6526,11650,26464,7082,13252,449,99,259,52137,2694,1012,26141,4190,6345,744,132,240
"98","E07000073","Harlow",71,273,728,1297,3307,4784,910,4489,5982,15,43,126,1387,1708,308,781,1929,2590,22,74,103
"99","E07000074","Maldon",0,44,556,0,960,7710,0,1014,7833,0,13,140,0,562,980,0,526,4340,0,16,154
"100","E07000075","Rochford",0,189,831,0,3499,6930,0,4291,8246,0,55,154,0,1598,531,0,2392,3698,0,81,143
"101","E07000076","Tendring",0,367,1539,0,8263,15157,0,8642,16974,0,125,337,0,6026,1487,0,5475,7941,0,161,297
"102","E07000077","Uttlesford",800,468,801,20861,10152,14418,14636,10292,14169,204,113,270,29044,6341,2056,12781,7067,7862,366,200,273
"103","E07000078","Cheltenham",0,575,847,0,4057,4545,0,5369,5683,0,56,148,0,986,277,0,1845,2284,0,69,91
"104","E07000079","Cotswold",0,1010,611,0,18634,9667,0,19692,9436,0,267,148,0,12627,1180,0,10671,4914,0,321,170
"105","E07000080","Forest of Dean",59,439,675,3026,5257,8636,2123,5539,8810,35,131,163,4800,3591,1150,1589,3304,4407,46,100,156
"106","E07000081","Gloucester",0,385,877,5,6029,4931,4,7802,6165,0,113,155,5,2236,318,3,3222,2463,0,116,98
"107","E07000082","Stroud",323,452,1126,21665,6205,9404,15200,7316,10401,118,132,229,22991,2794,827,10852,3576,4677,311,119,174
"108","E07000083","Tewkesbury",283,639,810,17573,10776,7279,12369,11259,7948,104,196,168,21371,5490,767,9082,5585,3620,260,165,134
"109","E07000084","Basingstoke and Deane",488,904,1209,18268,20828,14016,12823,23260,15107,124,243,254,10698,18219,1156,8094,10835,7121,232,336,262
"110","E07000085","East Hampshire",40,688,974,1655,19857,13041,1180,20341,13805,20,356,226,643,9146,1155,873,14142,6699,25,404,244
"111","E07000086","Eastleigh",466,192,854,18703,3248,7366,13338,4214,9083,192,63,161,12005,1053,546,9483,1804,3978,270,64,158
"112","E07000087","Fareham",247,320,766,11766,4917,6165,8370,6191,7520,177,146,139,6092,1401,341,6198,2760,3384,176,93,134
"113","E07000088","Gosport",0,111,576,0,1126,5312,0,1560,6641,0,42,127,0,331,269,0,679,2619,0,26,105
"114","E07000089","Hart",512,130,624,12467,5640,7983,8746,6112,8756,111,83,144,6658,1863,772,5213,2939,4029,149,90,150
"115","E07000090","Havant",88,372,870,4137,6643,6311,2989,7910,7891,48,116,141,1449,2852,450,2002,3974,3442,57,129,137
"116","E07000091","New Forest",111,1143,1657,5580,22808,20963,3915,24467,22515,58,338,366,2517,10959,1757,3010,13338,10549,86,398,388
"117","E07000092","Rushmoor",70,254,601,2944,6049,4605,2127,8232,5757,26,92,109,1849,1937,258,1276,3099,2576,36,118,103
"118","E07000093","Test Valley",339,944,890,14901,19601,11928,10481,20475,12510,144,253,203,11134,12250,1052,8138,10955,6016,233,319,218
"119","E07000094","Winchester",627,632,946,20703,13958,14293,14581,14332,14498,169,246,267,15482,10918,1307,10052,8097,6894,288,234,245
"120","E07000095","Broxbourne",0,270,715,0,5822,6134,0,6837,7652,0,87,143,0,4227,488,0,3696,3241,0,121,129
"121","E07000096","Dacorum",165,577,1079,5286,12209,10371,3707,13641,12160,36,171,226,6228,5101,920,2781,7058,5557,80,218,213
"122","E07000098","Hertsmere",722,594,732,19964,7463,6834,14072,7789,8183,201,133,142,25974,1969,938,12649,4004,3639,358,120,142
"123","E07000099","North Hertfordshire",116,493,1086,8655,10791,12064,6116,11806,13551,98,136,243,4622,4525,1208,4041,5432,6450,115,167,242
"124","E07000102","Three Rivers",502,272,780,21949,4341,6581,15310,5120,8110,156,57,151,20329,1143,521,11570,2202,3546,327,75,140
"125","E07000103","Watford",65,542,507,1118,5121,3916,780,6572,4896,15,67,94,596,1108,278,664,2358,2093,19,89,84
"126","E07000105","Ashford",424,667,662,9394,10723,8194,6630,12116,8511,128,155,149,17552,4429,768,5883,6144,4255,168,197,153
"127","E07000106","Canterbury",0,1512,883,0,14218,7580,0,15688,8854,0,210,163,0,8885,583,0,8658,4198,0,265,162
"128","E07000107","Dartford",247,1078,459,8227,17541,4007,8560,18358,4775,135,431,93,19385,13533,275,5631,12561,2252,180,373,88
"129","E07000108","Dover",0,1072,573,0,9091,6286,0,9988,6766,0,150,122,0,7877,549,0,4947,3368,0,152,124
"130","E07000109","Gravesham",40,635,413,1621,11844,3581,1137,12445,4155,26,263,83,1587,9381,255,1119,7746,2021,32,225,78
"131","E07000110","Maidstone",479,851,764,16438,11789,8629,11579,13306,9387,202,172,168,23777,6267,776,10389,7736,4777,297,239,177
"132","E07000111","Sevenoaks",822,395,626,31020,9504,8076,21674,10223,8563,365,196,159,36508,3802,749,20698,6045,4296,587,180,157
"133","E07000112","Folkestone and Hythe",330,902,535,5822,6738,6682,4107,7764,7104,78,105,126,8734,3020,637,3139,3858,3532,90,126,129
"134","E07000113","Swale",372,483,751,12414,11519,7821,8710,12352,8620,115,137,163,10979,9877,648,8607,7806,4214,247,234,157
"135","E07000114","Thanet",0,614,638,0,7156,5402,0,8268,6561,0,120,129,0,2444,367,0,4419,3058,0,140,120
"136","E07000115","Tonbridge and Malling",633,714,639,19905,14199,6547,14066,15243,7403,293,225,129,24767,6417,580,12509,8224,3526,357,245,133
"137","E07000116","Tunbridge Wells",0,686,532,0,9791,6513,0,10852,7054,0,147,123,0,4294,618,0,5944,3551,0,187,131
"138","E07000117","Burnley",74,542,303,3601,4963,4538,2582,6119,5479,17,44,83,1740,1726,356,1839,2694,2070,52,93,81
"139","E07000118","Chorley",505,585,487,23061,4942,6254,16444,5861,7165,125,60,118,21855,1330,573,12783,2320,2887,364,78,110
"140","E07000119","Fylde",173,424,416,6124,5900,5469,4297,6729,6276,33,73,101,2448,1923,489,3500,2581,2490,100,83,95
"141","E07000120","Hyndburn",149,401,395,5429,3910,4557,3923,4556,5698,23,40,85,3607,2105,389,2742,2157,2127,77,68,85
"142","E07000121","Lancaster",655,855,562,15305,6861,9023,10738,8063,10062,145,171,169,18860,3532,887,9744,3693,4210,279,124,157
"143","E07000122","Pendle",69,405,420,3148,3714,5662,2275,4519,6654,15,42,101,1118,1421,468,1469,2103,2617,41,73,101
"144","E07000123","Preston",500,736,796,17073,5436,8239,12063,6921,9787,96,70,137,15122,1423,739,9377,2484,3753,268,89,145
"145","E07000124","Ribble Valley",0,316,306,0,5025,6163,0,5337,6220,0,68,114,0,3576,593,0,2567,2758,0,79,97
"146","E07000125","Rossendale",12,514,386,346,6547,5045,244,7393,5950,3,67,89,212,3630,447,220,4316,2427,6,132,93
"147","E07000126","South Ribble",224,429,763,11932,7215,7380,8491,8709,9049,81,93,128,10462,2906,636,6625,3475,3412,189,117,135
"148","E07000127","West Lancashire",115,551,472,6078,8449,7756,4306,9270,8674,25,149,136,5817,3319,906,3653,3973,3509,104,123,131
"149","E07000128","Wyre",318,462,564,8079,4926,7124,5668,5767,8069,67,78,131,9456,1795,643,4380,2524,3217,126,83,121
"150","E07000129","Blaby",454,357,1112,19088,5115,7496,13537,6117,9050,89,62,138,27047,2828,1144,11737,2646,3464,335,88,135
"151","E07000130","Charnwood",105,865,1689,4451,15824,8836,3122,17047,10364,23,151,189,6537,10682,1033,2819,9374,4156,81,281,159
"152","E07000131","Harborough",376,324,652,12506,7857,7806,8774,8268,7824,68,90,115,24419,7405,1131,7254,4460,4286,208,134,150
"153","E07000132","Hinckley and Bosworth",180,335,1062,9120,7052,7381,6423,7559,8217,38,110,144,13390,6104,988,5738,4522,3685,164,134,136
"154","E07000133","Melton",0,321,536,0,3705,5322,0,4287,5499,0,48,83,0,3721,926,0,2760,2894,0,89,103
"155","E07000134","North West Leicestershire",356,462,831,14295,16027,6671,10029,16415,7154,75,147,120,21265,24137,910,9104,11045,3385,261,318,123
"156","E07000135","Oadby and Wigston",0,111,613,0,1172,2654,0,1575,3319,0,10,69,0,320,291,0,475,1155,0,18,46
"157","E07000136","Boston",0,398,654,0,5625,3417,0,6271,3588,0,68,77,0,8225,606,0,3554,2062,0,113,74
"158","E07000137","East Lindsey",0,1474,1656,0,14298,10571,0,15281,10720,0,241,237,0,9327,1899,0,9379,6882,0,289,242
"159","E07000138","Lincoln",0,281,902,0,3176,2322,0,3957,2904,0,70,85,0,2146,284,0,1762,1200,0,61,48
"160","E07000139","North Kesteven",0,535,948,0,12824,6680,0,13449,6691,0,159,150,0,15758,1169,0,8478,4229,0,253,148
"161","E07000140","South Holland",0,478,888,0,7685,5989,0,8151,6132,0,78,134,0,12988,1227,0,4995,3877,0,153,137
"162","E07000141","South Kesteven",0,751,1286,0,18483,6153,0,19398,6497,0,215,164,0,34125,973,0,12503,3828,0,366,137
"163","E07000142","West Lindsey",0,680,797,0,12647,6476,0,13396,6339,0,269,153,0,11479,1187,0,7317,4225,0,224,146
"164","E07000143","Breckland",0,1065,1448,0,18303,15650,0,19007,15782,0,243,359,0,19643,1874,0,13907,8935,0,409,315
"165","E07000144","Broadland",0,1061,1178,0,11312,10581,0,12265,11089,0,166,249,0,4900,1178,0,6532,5972,0,201,215
"166","E07000145","Great Yarmouth",0,544,846,0,6110,5344,0,7035,6149,0,96,151,0,2152,367,0,3276,3047,0,105,116
"167","E07000146","King's Lynn and West Norfolk",0,1439,1641,0,17013,17172,0,18285,17339,0,219,403,0,17777,1679,0,10742,9867,0,329,348
"168","E07000147","North Norfolk",0,770,959,0,8085,12505,0,8480,12145,0,112,277,0,3730,1188,0,4680,7226,0,143,249
"169","E07000148","Norwich",0,976,1165,0,5561,5422,0,7595,6778,0,120,180,0,2033,272,0,3173,3002,0,122,120
"170","E07000149","South Norfolk",0,1272,1376,0,23616,14988,0,24257,15073,0,340,329,0,16171,1756,0,14839,8455,0,434,297
"171","E07000150","Corby",0,209,817,0,3737,3828,0,4452,4620,0,37,91,0,3373,476,0,2051,1781,0,67,69
"172","E07000151","Daventry",567,469,751,17002,15089,8099,11929,15832,8250,65,129,126,36014,25019,1293,9732,9996,4562,279,296,161
"173","E07000152","East Northamptonshire",0,378,650,0,12166,6409,0,12807,6620,0,126,106,0,19873,1015,0,8166,3562,0,243,126
"174","E07000153","Kettering",0,634,969,0,16987,5786,0,18083,6708,0,133,121,0,24247,814,0,10836,2936,0,317,111
"175","E07000154","Northampton",0,1337,2413,10,18416,10203,7,22628,12757,0,155,256,19,11756,1233,6,8589,4600,0,291,184
"176","E07000155","South Northamptonshire",735,727,526,20749,17713,7662,14557,18139,7508,145,196,105,37825,17867,1250,12432,10417,4409,356,302,152
"177","E07000156","Wellingborough",0,376,673,0,10948,4305,0,11680,4839,0,106,93,0,7852,617,0,6082,2165,0,183,81
"178","E07000163","Craven",0,518,604,0,8042,4657,0,8597,4604,0,151,113,0,5474,443,0,4018,2733,0,124,95
"179","E07000164","Hambleton",120,1072,936,5216,18117,7415,3660,18738,7219,24,208,179,11775,26440,857,3481,13040,4210,100,380,146
"180","E07000165","Harrogate",571,1237,1576,20634,13862,11078,14477,15364,11372,118,148,221,35808,8607,1812,12229,7056,6246,351,225,223
"181","E07000166","Richmondshire",101,757,698,3412,9415,5602,2394,9655,5545,14,129,131,5123,14578,525,1708,6189,3110,49,179,109
"182","E07000167","Ryedale",0,820,942,0,9629,7632,0,9951,7413,0,206,185,0,7092,1294,0,6081,4339,0,180,150
"183","E07000168","Scarborough",0,1259,1024,0,8481,5987,0,9539,6264,0,217,132,0,3481,481,0,4685,3458,0,153,125
"184","E07000169","Selby",177,909,575,7580,14417,4128,5318,14962,4103,47,187,95,16727,10695,295,5015,8344,2303,144,244,81
"185","E07000170","Ashfield",155,216,1330,6474,5718,7635,4542,6700,9453,23,61,157,9590,3229,998,4146,3097,3444,119,102,137
