Unnamed: 0,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,lat,lon,pm25_lon,pm25_lat,pm25_val,no2_lon,no2_lat,no2_val,o3_lon,o3_lat,o3_val,pm10_lon,pm10_lat,pm10_val,so2_lon,so2_lat,so2_val,nox_lon,nox_lat,nox_val
1,E06000001,20,997,"25,985",41.8,54.6857276,-1.2093696,-1.210453043339995,54.68497677946139,7.3628211,-1.210453043339995,54.68497677946139,13.105737,-1.210453043339995,54.68497677946139,5.303858,-1.210453043339995,54.68497677946139,11.506778,-1.210453043339995,54.68497677946139,1.5755607,-1.210453043339995,54.68497677946139,17.730895
2,E06000002,60,"2,608","22,878",36.2,54.5760419,-1.2344047,-1.2342108040562132,54.576386631533595,8.210540499999999,-1.2342108040562132,54.576386631533595,20.178191,-1.2342108040562132,54.576386631533595,4.2518016,-1.2342108040562132,54.576386631533595,12.561927999999998,-1.2342108040562132,54.576386631533595,3.133286499999999,-1.2342108040562132,54.576386631533595,29.296034000000002
3,E06000003,26,558,"23,236",45.0,54.5679056,-1.0054963,-1.0054663021759798,54.56753373168251,7.293137200000001,-1.0054663021759798,54.56753373168251,7.749542,-1.0054663021759798,54.56753373168251,6.8514997,-1.0054663021759798,54.56753373168251,12.855827000000001,-1.0054663021759798,54.56753373168251,0.99886383,-1.0054663021759798,54.56753373168251,9.9832409
4,E06000004,26,962,"26,622",40.4,54.564094,-1.3129164,-1.3102192523654863,54.56426166321022,7.9008561,-1.3102192523654863,54.56426166321022,15.562037999999998,-1.3102192523654863,54.56426166321022,5.0506318,-1.3102192523654863,54.56426166321022,12.25113,-1.3102192523654863,54.56426166321022,1.9343295,-1.3102192523654863,54.56426166321022,21.440737000000006
5,E06000005,14,540,"26,908",43.1,54.5242081,-1.5555812,-1.55656393583878,54.52317619983944,7.153221099999999,-1.55656393583878,54.52317619983944,11.3603409,-1.55656393583878,54.52317619983944,5.1988114,-1.55656393583878,54.52317619983944,11.129634999999999,-1.55656393583878,54.52317619983944,1.12903354,-1.55656393583878,54.52317619983944,15.098272
6,E06000006,28,"1,624","26,328",41.0,53.3538525,-2.7427829,-2.7436351210842136,53.35416218357875,9.257343199999998,-2.7436351210842136,53.35416218357875,15.611061999999999,-2.7436351210842136,53.35416218357875,4.393569099999999,-2.7436351210842136,53.35416218357875,13.269754000000002,-2.7436351210842136,53.35416218357875,3.0365011000000006,-2.7436351210842136,53.35416218357875,21.642167
7,E06000007,41,"1,160","29,842",42.2,53.3899497,-2.5943178,-2.595399246806024,53.39005003109414,8.5694032,-2.595399246806024,53.39005003109414,17.232627,-2.595399246806024,53.39005003109414,3.7784427999999997,-2.595399246806024,53.39005003109414,12.433627,-2.595399246806024,53.39005003109414,2.8363907,-2.595399246806024,53.39005003109414,24.256561999999995
8,E06000008,18,"1,087","22,198",36.3,53.699177,-2.4709001,-2.470997819763776,53.69801038535005,7.6509851,-2.470997819763776,53.69801038535005,12.3690162,-2.470997819763776,53.69801038535005,4.243171200000001,-2.470997819763776,53.69801038535005,11.3740139,-2.470997819763776,53.69801038535005,1.5465026,-2.470997819763776,53.69801038535005,16.653894
9,E06000009,20,"3,997","21,181",43.5,53.8245483,-3.03732,-3.039075904028393,53.82476091167457,7.308845700000001,-3.039075904028393,53.82476091167457,10.6894658,-3.039075904028393,53.82476091167457,4.8719872,-3.039075904028393,53.82476091167457,10.549861100000001,-3.039075904028393,53.82476091167457,1.3974031,-3.039075904028393,53.82476091167457,14.089256
10,E06000010,21,"3,648","20,562",35.6,53.7435722,-0.3394758,-0.34116857502572123,53.74318694799405,10.133429500000002,-0.34116857502572123,53.74318694799405,18.906543999999997,-0.34116857502572123,53.74318694799405,4.8822638000000005,-0.34116857502572123,53.74318694799405,15.584662,-0.34116857502572123,53.74318694799405,3.0704070000000003,-0.34116857502572123,53.74318694799405,27.329206000000006
